id,sent,label
1,obama is a legend in his own mind,-1.286
2,conservatives are racists,2.0
3,cruz is correct,-1.143
4,romney is president,-0.7140000000000001
5,obama thinks there are 57 states,-1.8330000000000002
6,romney was 100 % correct,-1.571
7,obama is a fraud,-1.714
8,hitler was a liberal,-1.143
9,democrats are traitors,-1.857
10,romney is done,1.429
11,democrats started the kkk,-1.571
12,obama is right,1.714
13,boehner is the speaker of the house,0.0
14,isis is islam,-0.5710000000000001
15,the senate has done nothing,0.28600000000000003
16,hillary is no reagan,-0.5710000000000001
17,obama will blame bush,-1.6669999999999998
18,obama is even worse,-1.571
19,obama has everything under control,1.714
20,obama lied and americans died,-1.857
21,obama got elected twice,0.429
22,harry reid said so,0.14300000000000002
23,bush lied and a million died,2.0
24,america is an oligarchy,0.5710000000000001
25,obama is evil,-2.0
26,obama promised,0.0
27,the united states is a republic,-0.5710000000000001
28,obama is the potus,0.0
29,obama is wrong,-1.286
30,obama was born in america,0.7140000000000001
31,the dems will lose the senate,-1.0
32,aca is a success,1.0
33,conservatives need not apply,1.571
34,obama is a socialist,-2.0
35,fox is biased,1.571
36,marriage is a sacrament,-1.286
37,religion sucks,1.0
38,gop lies,1.143
39,hillary is a neo-con,-1.143
40,bush kept us safe,-1.571
41,obama sickens me,-1.857
42,america is doomed,-0.429
43,cruz did the right thing,-0.7140000000000001
44,dems win,1.0
45,cruz is right,-0.857
46,harry reid is a democrat,0.14300000000000002
47,conservatives lie,1.857
48,islam is a death cult,-1.571
49,bush was an idiot,1.857
50,government is the enemy,0.14300000000000002
51,romney was right,-1.286
52,obama is still the president,1.0
53,cruz ca n't run,0.28600000000000003
54,ted cruz is a clown,1.429
55,obama is the worst president in history,-2.0
56,science is not a democracy,0.5710000000000001
57,obama is dumb,-1.714
58,cruz is exactly right,-2.0
59,hitler would be proud,-0.14300000000000002
60,obama is not a leader,-1.6669999999999998
61,democrats are liars,-2.0
62,global warming is a fact,0.857
63,california is bankrupt,-0.5710000000000001
64,obama won re-election,1.0
65,obama is a racist,-1.571
66,obama hates israel,-1.429
67,obama will be long gone,-1.143
68,boehner must go,1.0
69,democrats do n't care,-1.714
70,america does n't want you,-1.0
71,bush won the war,-1.714
72,bush was just as bad,0.857
73,obama has an agenda,-1.571
74,romney is a joke,1.714
75,romney was correct,-1.429
76,america is done,-0.429
77,guns do n't kill,-1.571
78,democrats are stupid,-1.857
79,obama is an embarrassment,-1.714
80,fox is not news,1.714
81,cruz is smart,-0.857
82,hillary clinton will be our next president,1.857
83,conservatives are cowards,1.857
84,government is not the answer,-1.143
85,obamacare is romneycare,0.16699999999999998
86,hillary knows,0.857
87,libs must be so proud,-1.429
88,ted cruz is right,-1.286
89,obama is delusional,-1.714
90,rubio is an idiot,1.143
91,the republican party is dead,1.571
92,obama has a strategy,1.429
93,the republicans are no different,1.0
94,congress is useless,0.0
95,the republicans are useless,2.0
96,sarah palin is an idiot,1.714
97,obama will do nothing,-1.429
98,christie is toast,1.429
99,the gop brought this on themselves,1.429
100,obama lied and people died,-2.0
101,obama killed bin laden,0.5710000000000001
102,jeb has no chance,1.0
103,conservatives are such hypocrites,2.0
104,obamacare is the law,1.571
105,congress spends the money,-0.33299999999999996
106,hillary will win,1.143
107,reagan won the cold war,-1.6669999999999998
108,hillary is a disgrace,-1.857
109,obama said his policies were on the ballot,0.429
110,romney is right,-1.286
111,china is a communist country,-0.5710000000000001
112,democrats are in power,1.143
113,obama is a complete failure,-1.8330000000000002
114,russia invaded georgia,0.14300000000000002
115,palin is a joke,1.571
116,global warming is a religion,-0.857
117,cnn is a joke,-1.571
118,obama got bin laden,1.0
119,democrats own this mess,-1.571
120,the tea party is not racist,-1.857
121,libs lie,-1.714
122,cruz was right,-1.571
123,cnn sucks,-1.286
124,putin is not a communist,0.33299999999999996
125,ebola is a virus,0.0
126,america has had enough,-0.28600000000000003
127,romney is a good man,-1.286
128,bush was awful,1.571
129,romney did n't win,1.0
130,hillary is your next president,1.857
131,guns kill,1.714
132,obama is worthless,-1.857
133,reid shut the government down,0.14300000000000002
134,george bush was right,-1.714
135,islam is a religion  not a race,0.7140000000000001
136,putin could care less,-0.14300000000000002
137,republicans ca n't govern,1.857
138,marriage is a contract,-0.857
139,the gop won,-1.286
140,reagan sucked,1.714
141,cruz is eligible,-0.7140000000000001
142,obama has failed miserably,-2.0
143,obama has become irrelevant,-1.286
144,obama has n't done anything,-1.286
145,obama has no plan,-1.571
146,obama is a puppet,-1.8330000000000002
147,sarah palin was right all along,-1.429
148,democrats are corrupt,-2.0
149,science is hard,-0.857
150,the senate is ours,-0.857
